UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
150606;LIMA;HUARAL;IHUARI;AÑAMPAY;7;3;25.1
150606;LIMA;HUARAL;IHUARI;HUACHINGA;0;0.5;6.2
150606;LIMA;HUARAL;IHUARI;MOLINO;0;0.96;6.2
150606;LIMA;HUARAL;IHUARI;ÑAUPAY;0;0.48;12.4
150811;LIMA;HUAURA;SAYAN;CUCHUCHIN;0;1;6
150606;LIMA;HUARAL;IHUARI;REPARTICION;76;1;69.8
150606;LIMA;HUARAL;IHUARI;ACOTAMA;18;1;13.2
150606;LIMA;HUARAL;IHUARI;ACOTAMA;19;1;23.7
150606;LIMA;HUARAL;IHUARI;ACOTAMA;0;1;12.4
150606;LIMA;HUARAL;IHUARI;ACOTAMA;79;1;71.9
150606;LIMA;HUARAL;IHUARI;ACOTAMA;68;1;60.5
150606;LIMA;HUARAL;IHUARI;AÑAMPAY;36;1;31.6
150606;LIMA;HUARAL;IHUARI;HUAYCHO;16;1;12.4
150606;LIMA;HUARAL;IHUARI;HUAYCHO;0;1;6.2
150606;LIMA;HUARAL;IHUARI;IHUARI;0;1;6.1
150606;LIMA;HUARAL;IHUARI;IHUARI;12;1;10.8
150606;LIMA;HUARAL;IHUARI;IHUARI;0;1;6.1
150606;LIMA;HUARAL;IHUARI;IHUARI;10;1;9.9
150606;LIMA;HUARAL;IHUARI;IHUARI;23;1;15.1
150606;LIMA;HUARAL;IHUARI;IHUARI;21;1;14.3
150606;LIMA;HUARAL;IHUARI;OTEC;23;1;22.3
150606;LIMA;HUARAL;IHUARI;OTEC;10;1;10
150606;LIMA;HUARAL;IHUARI;OTEC;4;1;7.6
150606;LIMA;HUARAL;IHUARI;HUACHINGA;14;1;11.6
150606;LIMA;HUARAL;IHUARI;HUACHINGA;20;1;13.9
150606;LIMA;HUARAL;IHUARI;HUACHINGA;5;1;7.9
150606;LIMA;HUARAL;IHUARI;HUACHINGA;9;1;9.4
150606;LIMA;HUARAL;IHUARI;HUACHINGA;0;1;6.1
150606;LIMA;HUARAL;IHUARI;LAMBLAN;0;1;32.1
150606;LIMA;HUARAL;IHUARI;LAMBLAN;22;1;14.7
150606;LIMA;HUARAL;IHUARI;ÑAUPAY;16;1;12.4
150606;LIMA;HUARAL;IHUARI;ÑAUPAY;0;1;6.2
150606;LIMA;HUARAL;IHUARI;ÑAUPAY;18;1;13.2
150606;LIMA;HUARAL;IHUARI;ÑAUPAY;4;1;7.6
