UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,CONSUMO_KW,POTENCIA_CONTRATADA,MONTO_SOLES,Latitud,Longitud
150204,LIMA,BARRANCA,SUPE,VIRGEN DE LAS MERCEDES,3.0,0.96,17.1,-10.7187,-77.7069
150201,LIMA,BARRANCA,BARRANCA,SANTA VICTORIA,60.0,10.0,0.0,-10.7125,-77.7605
150201,LIMA,BARRANCA,BARRANCA,PRIMERO DE MAYO,30.0,3.0,17.8,-10.6980,-77.7480
150201,LIMA,BARRANCA,BARRANCA,PAMPA SAN ALEJO,150.0,3.0,168.9,-10.7125,-77.7605
150201,LIMA,BARRANCA,BARRANCA,VINTO BAJO,10.0,3.0,25.7,-10.7250,-77.7612
150201,LIMA,BARRANCA,BARRANCA,PRIMERO DE MAYO,66.0,3.0,60.1,-10.6980,-77.7480
150201,LIMA,BARRANCA,BARRANCA,LAS HUERTAS,29.0,3.0,17.4,-10.7225,-77.7325
150201,LIMA,BARRANCA,BARRANCA,BARRANCA,50.0,3.0,105.6,-10.7125,-77.7605
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,372.0,3.0,807.0,-14.3994,-73.8512
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,54.0,3.0,100.3,-14.3994,-73.8512
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,0.0,3.0,6.2,-14.0714,-74.1985
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,15.0,3.0,13.3,-14.0714,-74.1985
40309,AREQUIPA,CARAVELI,HUANUHUANU,MOLLEHUACA,19.0,3.0,11.8,-15.7667,-73.5833
40309,AREQUIPA,CARAVELI,HUANUHUANU,MOLLEHUACA,827.0,8.0,4231.0,-15.7667,-73.5833
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,117.0,3.0,115.5,-14.3994,-73.8512
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,24.0,3.0,15.4,-14.3994,-73.8512
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,22.0,3.0,20.7,-14.3994,-73.8512
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,35.0,3.0,67.5,-14.3994,-73.8512
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA,44.0,3.0,39.4,-14.1395,-74.1056
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,87.0,3.0,110.6,-14.3994,-73.8512
50705,AYACUCHO,PARINACOCHAS,PULLO,PUEBLO NUEVO DE HUILCALLAMA,26.0,3.0,40.9,-14.4381,-73.7992
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,104.0,3.0,102.9,-14.3994,-73.8512
50705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,9.0,3.0,10.8,-14.4752,-73.7511
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA,0.0,3.0,6.2,-14.1395,-74.1056
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA,7.0,3.0,8.9,-14.1395,-74.1056
50705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,92.0,3.0,163.5,-14.4752,-73.7511
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA,42.0,3.0,37.2,-14.1395,-74.1056
50705,AYACUCHO,PARINACOCHAS,PULLO,MALCO,15.0,3.0,18.2,-14.4667,-73.8000
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,233.0,3.0,267.8,-14.3994,-73.8512
40309,AREQUIPA,CARAVELI,HUANUHUANU,EL POZO,13.0,1.0,11.2,-15.7403,-73.5436
